C,Pais,capital,Pobla,Superf,moneda,punto mas alto,altura,Pob-cap,Per-pob,Pib PC,Nominal,Eda-Me,E-vida,Cultiv,Fertil,Escol,Dens
e,Vaticano,Vaticano,0.001,0.000,Euro,Colina Vaticana,75,1.000,100.0%,,0.00,,,0,0,,2272.7
e,Monaco,Monaco,0.031,0.002,Euro,Chemin des Révoires,161,30.581,99.8%,"115,700",6.01,53.1,89.4,0,1.53,,15170.8
o,Nauru,Yaren,0.010,0.021,Dólar,Command Ridge,71,0.781,8.1%,"11,600",0.10,26.4,67.4,0,2.8,9,459.1
o,Tuvalu,Funafuti,0.011,0.026,Dólar,"Sin nombre, Niulakita",5,6.000,54.3%,"3,500",0.04,25.7,66.9,0,2.95,,425.1
e,San marino,San Marino,0.034,0.061,Euro,Monte Titano,755,4.000,11.9%,"59,500",1.59,44.4,83.3,16.7,1.5,15,549.8
e,Liechtenstein,Vaduz,0.038,0.160,Franco,Grauspitz,2599,5.248,13.7%,"139,100",6.67,43.2,81.9,18.8,1.69,15,239.0
o,Islas Marshall,Majuro,0.075,0.181,Dólar,"Sin nombre, atolón de Likiep",10,31.000,41.6%,"3,300",0.19,22.9,73.4,7.8,3.03,,411.6
m,San Cristobal y Nieves,Baseterre,0.053,0.261,Dólar,Monte Liamuiga,1156,14.000,26.6%,"26,100",0.90,35,75.9,19.2,1.77,14,202.0
a,Maldivas,Male,0.392,0.298,Rupia,"Sin nombre, atolón de Seenu",2,156.000,39.8%,"15,500",4.24,28.2,75.8,10,1.73,,1315.4
e,Malta,La Valetta,0.416,0.316,Euro,Ta'Dmejrek,253,197.000,47.4%,"39,900",11.00,41.8,80.5,28.4,1.55,15,1316.5
m,Granada,Saint George,0.112,0.344,Dólar,Monte Saint Catherine,840,38.000,34.0%,"14,100",1.06,31.5,74.5,8.8,2.02,16,324.8
m,San Vicente y Gran,Kinsgtown,0.102,0.389,Dólar,Soufrière,1234,27.000,26.4%,"11,300",0.77,36.6,75.5,12.8,1.8,,262.4
m,Barbados,Bridgetown,0.292,0.430,Dólar,Hillaby,336,90.000,30.8%,"17,100",4.55,38.6,75.5,25.6,1.68,15,679.9
m,Antigua y barbuda,Saint Jhons,0.095,0.443,Dólar,Obama,402,22.000,23.2%,"25,200",1.46,31.9,76.7,9.1,2,14,213.8
f,Seychelles,Victoria,0.094,0.455,Rupia,Morne Seychellois,905,26.000,27.7%,"27,600",1.43,35.4,74.9,2.2,1.85,14,206.4
o,Palaos,Melekeof,0.021,0.459,Dólar,Monte Ngerchelchuus,242,0.299,1.4%,"15,400",0.31,33.4,73.4,2.2,1.71,17,46.7
e,Andorra,Andorra,0.086,0.468,Euro,Coma Pedrosa,2942,23.000,26.8%,"49,900",2.71,44.3,82.9,5.5,1.4,,183.1
m,Santa Lucia,Castries,0.165,0.616,Dólar,Monte Gimie,950,22.000,13.3%,"11,800",1.68,34.8,77.9,4.9,1.75,13,267.8
a,Singapur,Singapur,5.889,0.697,Dólar,Bukit Timah,164,5619.000,95.4%,"87,900",297.00,34.6,85.2,0.9,0.83,,8449.0
o,Micronesia,Palikir,0.104,0.702,Dólar,Dolohmwar (Totolom),791,7.000,6.7%,"3,200",0.32,25.1,73.1,2.3,2.41,,148.1
o,Tonga,Nukalofa,0.106,0.747,Pa'anga,"Sin nombre, en Kao",1033,25.000,23.5%,"5,400",0.41,23,76.4,22.2,3.1,,142.5
m,Dominica,Roseau,0.074,0.751,Dólar,Morne Diablotins,1447,15.000,20.3%,"11,300",0.58,33.5,77.2,8,2.03,,98.4
a,Barein,Manama,1.410,0.760,Dinar,Jabal ad Dukhan,122,411.000,29.1%,"50,700",31.86,32.3,79,2.1,1.75,,1855.3
o,Kiribati,Tarawa Sur,0.108,0.811,Dólar,"Sin nombre, Banaba",81,46.000,42.6%,"1,800",0.17,24.6,66.5,2.5,2.39,12,133.2
f,Sao tome y principe,Santo Tome,0.201,0.964,Dobra,Pico de São Tomé,2024,71.000,35.3%,"3,100",0.35,18.4,65.3,9.1,4.25,13,208.5
a,Hong kong,Hong Kong,7.160,1.100,Dólar,Tai mo shan,958,7160.000,100.0%,"42,123",341.40,,,,,,6509.1
f,Mauricio,Port Louis,1.356,2.040,Rupia,Monte Piton,828,135.000,10.0%,"20,400",12.15,35.3,75.8,38.4,1.75,15,664.7
f,Comoros,Moroni,0.808,2.235,Franco,Karthala,2360,56.000,6.9%,"1,500",0.61,19.9,64.6,46.7,3.34,11,361.5
e,Luxemburgo,Luxemburgo,0.594,2.586,Euro,Kneiff,560,107.000,18.0%,"104,000",59.98,39.3,82.3,24,1.62,14,229.7
o,Samoa,Apia,0.200,2.830,Dólar,Mauga Silisili (Savaii),1857,37.000,18.5%,"5,500",0.79,24.4,74,2.8,2.7,,70.7
f,Cabo verde,Praia,0.561,4.033,Escudo,Monte Fogo,2829,145.000,25.9%,"6,700",1.64,25.4,72.4,11.7,2.24,13,139.1
m,Trinidad y tobago,Puerto España,1.218,5.128,Dólar,Cerro del Aripo,940,34.000,2.8%,"31,900",21.13,36,73.1,4.9,1.71,,237.6
a,Brunei,Bandar Seri Bega One,0.444,5.765,Dólar,Bukit Pagon,1850,241.000,54.3%,"76,900",11.40,30.2,77.3,0.8,1.78,15,76.9
a,Palestina,Jerusalem del Este,4.550,6.220,Nuevo Shequel,Nabi Yunis,1030,535.000,11.8%,34100,9.83,,,,,,731.5
m,Puerto rico,San Juan,3.615,9.104,Dólar,Cerro de punta,1338,2463.000,68.1%,"32,063",103.13,,,,,,397.1
e,Chipre,Nicosia,1.221,9.250,Euro,Monte Olimpo,1951,251.000,20.6%,"35,000",19.81,36.8,78.8,9.8,1.47,14,132.0
a,Libano,Beirut,6.229,10.400,Libra,Qurnat as Sawdā',3088,2226.000,35.7%,"18,500",50.46,30.5,77.8,11.9,1.72,12,598.9
e,Kosovo,Pristina,1.895,10.887,Euro,Gjeravica,2656,207.000,10.9%,"9,600",6.62,29.1,,27.4,,,174.1
m,Jamaica,Kingston,2.990,11.000,Dólar,Pico Montaña Azul,2256,588.000,19.7%,"9,000",13.96,26,73.7,11.1,1.96,,271.8
f,Gambia,Banjul,2.051,11.300,Dalasi,"Sin nombre, Red Rock",53,504.000,24.6%,"1,700",0.97,21,65.1,41,3.52,9,181.5
a,Catar,Doha,2.314,11.586,Riyal,Qurayn Abu al Bawl,103,718.000,31.0%,"127,700",155.80,33.2,78.9,1.1,1.9,13,199.7
o,Vanuatu,Port Vila,0.283,12.189,Vatu,Monte Tabwemasana,1877,53.000,18.7%,"2,600",0.81,22,73.7,1.6,3.07,,23.2
e,Montenegro,Podgorica,0.643,13.812,Euro,Zla Kolata,2534,165.000,25.7%,"16,600",4.18,40.7,,12.9,,15,46.5
m,Bahamas,Nasau,0.330,13.878,Dólar,Alvernia en Isla Cat,63,267.000,80.9%,"24,600",8.72,32,72.6,0.8,1.94,,23.8
a,Timor oriental,Dili,1.291,14.874,Dólar,Foho Tatamailau,2963,228.000,17.7%,"4,200",2.70,18.9,68.4,10.1,4.79,13,86.8
f,Suazilandia,Mbabane,1.467,17.364,Lilangeni,Emlembe,1862,66.000,4.5%,"9,800",3.79,21.7,52.1,9.8,2.69,11,84.5
a,Kuwait,Kuwait,2.875,17.818,Dinar,Sin nombre,306,2779.000,96.7%,"71,900",110.90,29.3,78.2,0.6,2.4,13,161.4
o,Fiyi,Suva,0.921,18.274,Dólar,Tomanivi,1324,176.000,19.1%,"9,300",4.68,28.9,73,9,2.41,,50.4
e,Eslovenia,Liubliana,1.972,20.273,Euro,Triglav,2864,279.000,14.1%,"32,100",44.73,44.5,78.3,8.4,1.36,17,97.3
a,Israel,Jerusalem,8.300,20.770,Nuevo Shekel,Merón o Hermón,2236,839.000,10.1%,"35,200",317.70,29.9,82.5,13.7,2.64,16,399.6
m,El salvador,San Salvador,6.172,21.041,Dólar,El Pital,2730,1098.000,17.8%,"8,900",26.80,27.1,74.9,33.1,1.87,13,293.3
m,Belice,Belmopan,0.360,23.000,Dólar,Doyle's Delight,1124,17.000,4.7%,"8,200",1.74,22.7,68.9,3.3,2.85,13,15.7
f,Yibuti,Yibuti,0.865,23.200,Franco,Moussa Ali,2028,529.000,61.1%,"3,400",1.89,23.9,63.6,0.1,2.31,6,37.3
e,Macedonia,Skopie,2.103,25.713,Denar,Golem Korab (Maja e Korabit),2764,503.000,23.9%,"14,600",10.91,37.9,76.4,16.4,1.6,13,81.8
f,Ruanda,Kigali,11.901,26.338,Franco,Monte Karisimbi,4507,1257.000,10.6%,"2,000",8.41,19,64.3,47,3.87,11,451.9
m,Haiti,Puerto Principe,10.646,27.750,Gourde,Pic la Selle,2680,2440.000,22.9%,"1,800",8.23,23,64.2,38.5,2.72,,383.6
f,Burundi,Bujumbura,11.466,27.830,Franco,Monte Heha,2684,751.000,6.5%,800,3.14,17,60.9,38.9,5.99,11,412.0
f,Guinea ecuatorial,Malabo,0.778,28.000,Franco,Pico Basilé,3008,145.000,18.6%,"38,600",10.18,19.8,64.6,4.3,4.39,,27.8
e,Albania,Tirana,3.048,28.748,Lek,Korab,2764,454.000,14.9%,"11,800",11.87,32.9,78.5,22.7,1.51,16,106.0
o,Islas Salomon,Honiara,0.648,28.900,Dólar,Popomanaseu,2335,73.000,11.3%,"2,000",1.23,22.5,75.6,0.7,3.16,9,22.4
a,Armenia,Erevan,3.045,29.743,Dram,Aragats,4090,1044.000,34.3%,"8,600",10.57,35.1,74.9,15.8,1.64,12,102.4
f,Lesoto,Maseru,1.958,30.355,Loti,Thabana Ntlenyana,3482,267.000,13.6%,"3,600",2.26,24.2,53,10.1,2.63,11,64.5
e,Belgica,Bruselas,11.491,30.528,Euro,Signal de Botrange,694,2045.000,17.8%,"45,000",466.60,41.4,81.1,27.2,1.78,20,376.4
e,Moldavia,Chisinau,3.474,33.851,Leu,Monte Balanesti,430,725.000,20.9%,"5,300",6.77,36.7,71,55.1,1.57,12,102.6
a,Taiwan,Taipei,23.508,35.980,Dólar,Yu Shan,3952,2666.000,11.3%,"48,100",529.60,40.7,80.2,16.9,1.13,,653.4
f,Guinea bisau,Bisau,1.792,36.125,Franco,Sin nombre,300,492.000,27.5%,"1,700",1.15,20.1,51,8.2,4.09,9,49.6
a,Butan,Timbu,0.758,38.394,Rupia,Gangkhar Puensum,7570,152.000,20.1%,"8,200",2.12,27.6,70.6,2.6,1.9,13,19.7
e,Suiza,Berna,8.236,41.277,Franco,Pico Dufour,4634,358.000,4.3%,"59,600",669.00,42.4,82.6,10.2,1.56,16,199.5
e,Paises bajos,Amsterdan,17.084,41.543,Euro,Monte Scenery en la isla de Saba,887,1091.000,6.4%,"51,000",777.50,42.6,81.4,29.8,1.78,18,411.2
e,Dinamarca,Copenague,5.605,43.094,Corona,Møllehøj,171,1268.000,22.6%,"48,000",306.70,42.2,79.5,58.9,1.73,19,130.1
